TimesheetID,ProjectID,EmployeeID,WorkDate,HoursWorked
162,17,29,2026-03-15,5.0
163,18,42,2026-02-03,7.2
164,8,44,2025-09-30,8.8
165,1,20,2026-01-30,2.8
166,5,49,2025-12-28,7.1
167,16,37,2026-01-22,7.7
168,12,13,2026-01-16,3.4
169,8,39,2026-02-07,9.7
170,4,4,2025-12-05,6.9
171,17,31,2026-02-11,8.2
172,19,34,2026-01-24,5.5
173,6,27,2026-02-25,4.1
174,15,2,2025-11-28,8.6
175,7,3,2025-10-19,4.2
176,15,45,2026-01-20,4.0
177,10,8,2026-01-23,6.6
178,10,4,2026-03-17,5.0
179,10,9,2025-10-04,6.0
180,19,49,2025-12-19,3.5
181,16,29,2025-11-20,4.8
182,13,9,2025-12-02,4.7
183,16,36,2026-02-26,7.6
184,19,42,2025-12-06,6.4
185,11,24,2026-02-06,9.6
186,20,11,2025-10-18,3.9
187,19,43,2026-01-09,5.9
188,19,22,2025-11-27,7.5
189,16,26,2026-03-11,7.7
190,17,9,2026-01-19,8.3
191,14,32,2025-10-20,4.4
192,3,29,2026-01-08,7.5
193,3,42,2025-12-14,7.3
194,6,14,2025-12-30,5.8
195,13,12,2026-02-09,4.8
196,11,27,2026-02-14,4.6
197,15,49,2026-03-25,5.6
198,1,43,2025-12-14,4.0
199,13,41,2025-10-27,7.8
200,12,31,2025-12-16,3.0
201,20,1,2026-02-11,9.6
202,20,23,2026-03-22,3.5
203,1,43,2025-11-21,7.9
204,20,3,2025-12-06,7.8
205,11,41,2026-02-08,6.8
206,13,8,2025-10-22,8.7
207,17,20,2025-12-11,3.8
208,6,12,2025-11-11,4.4
209,6,10,2026-02-10,3.0
210,15,20,2025-10-08,9.8
211,19,19,2026-02-15,4.3
212,5,43,2025-10-29,7.1
213,11,27,2026-01-30,2.8
214,3,11,2025-09-30,6.6
215,19,19,2026-01-25,5.8
216,14,17,2025-12-23,3.5
217,10,45,2025-10-10,4.0
218,9,45,2026-01-27,2.9
219,14,18,2025-10-13,5.2
220,19,23,2025-10-15,6.6
221,4,49,2026-03-21,2.4
222,16,47,2025-11-04,8.5
223,18,38,2025-12-13,2.7
224,2,35,2025-11-29,2.9
225,6,11,2026-01-11,6.9
226,1,25,2026-03-04,3.8
227,1,13,2026-02-07,5.0
228,18,18,2026-01-18,4.4
229,6,10,2026-02-24,9.9
230,2,17,2025-12-14,6.5
231,8,33,2025-10-12,6.9
232,13,39,2025-10-22,9.6
233,2,24,2025-11-19,7.0
234,15,12,2025-12-03,7.3
235,9,44,2025-11-06,3.9
236,11,47,2026-02-15,2.6
237,12,22,2025-09-27,5.3
238,13,47,2026-03-22,6.8
239,7,28,2025-12-10,2.3
240,10,46,2025-12-09,7.7
241,3,30,2026-03-25,8.9
242,19,8,2025-10-15,7.5
243,18,10,2025-12-03,8.3
244,3,21,2026-03-06,6.7
245,1,46,2025-11-16,5.4
246,18,2,2026-02-13,3.8
247,3,16,2025-11-04,9.3
248,13,19,2025-11-02,2.6
249,13,25,2025-11-08,8.3
250,19,49,2026-02-26,8.0
251,4,9,2026-02-19,9.4
252,13,24,2026-01-17,3.0
253,2,42,2026-03-22,4.4
254,14,45,2026-01-08,9.5
255,17,43,2026-02-02,6.3
256,1,16,2026-01-17,2.6
257,14,41,2025-10-07,9.1
258,18,44,2025-12-18,6.8
259,17,38,2025-10-03,2.7
260,18,32,2026-03-18,8.7
261,20,23,2026-02-21,6.7
262,2,3,2025-10-02,10.0
263,6,9,2026-03-18,8.6
264,16,45,2026-02-21,2.3
265,2,27,2025-11-10,5.8
266,19,48,2026-03-12,5.5
267,16,40,2025-12-07,3.5
268,7,29,2026-02-23,5.5
269,15,25,2026-01-30,9.8
270,17,35,2026-01-25,4.8
271,13,12,2025-12-21,4.6
272,6,41,2025-10-23,8.9
273,12,32,2025-12-20,5.3
274,8,22,2026-01-31,4.3
275,11,22,2026-01-07,8.5
276,10,20,2026-02-14,2.3
277,4,47,2025-10-19,4.5
278,14,21,2025-12-18,2.9
279,1,36,2026-01-08,8.9
280,19,22,2025-09-27,7.3
281,1,33,2026-02-12,5.7
282,1,21,2025-10-10,3.5
283,7,32,2025-12-28,7.0
284,14,7,2026-02-01,7.0
285,17,29,2025-10-10,3.6
286,3,19,2026-02-14,3.0
287,20,6,2025-12-09,5.5
288,13,21,2026-03-24,5.9
289,9,42,2025-10-04,9.8
290,11,9,2026-03-01,8.4
291,16,4,2025-11-06,4.5
292,17,27,2025-09-30,6.4
293,18,1,2025-10-20,3.8
294,13,28,2025-10-26,5.7
295,8,1,2025-10-27,7.2
296,18,39,2025-11-05,6.0
297,8,15,2025-12-10,6.1
298,9,30,2025-12-05,5.3
299,2,42,2026-01-28,9.8
300,1,10,2025-11-28,5.7
301,12,42,2025-11-03,5.1
302,2,26,2026-02-27,6.1
303,19,46,2025-10-31,8.9
304,7,20,2025-12-06,8.2
305,7,30,2026-01-11,4.7
306,4,24,2026-02-03,4.1
307,12,15,2025-09-27,4.3
308,17,10,2025-12-12,8.7
309,11,18,2026-02-22,10.0
310,7,35,2026-01-30,8.9
311,9,14,2026-01-19,6.3
312,20,21,2025-12-24,4.7
313,17,48,2026-02-13,5.0
314,4,24,2025-12-18,9.0
315,20,9,2026-03-24,3.9
316,12,2,2026-01-03,3.9
317,11,25,2026-01-10,2.3
318,6,28,2026-01-26,7.6
319,4,11,2026-01-02,5.1
320,8,38,2026-03-15,8.3
321,9,35,2026-03-12,9.8
322,13,48,2026-01-31,9.7
323,11,37,2025-10-29,6.0
324,13,46,2026-02-25,4.7
325,20,25,2025-10-22,9.0
326,5,42,2026-01-17,2.8
327,12,40,2026-01-21,2.1
328,10,48,2025-11-02,5.3
329,14,2,2026-03-13,9.8
330,10,21,2025-10-16,5.8
331,10,45,2025-12-03,4.7
332,19,50,2026-03-23,5.2
333,2,12,2025-10-17,8.8
334,9,24,2026-03-18,8.9
335,3,25,2026-01-02,9.6
336,5,48,2026-03-06,7.7
337,16,18,2026-01-29,9.0
338,12,12,2025-10-06,6.9
339,1,23,2025-11-26,7.0
340,6,20,2025-12-09,10.0
341,4,3,2025-10-20,5.5
342,19,8,2025-10-22,8.1
343,9,9,2026-03-26,9.0
344,6,17,2026-01-18,3.3
345,14,4,2025-12-12,9.2
346,17,39,2025-10-08,4.6
347,8,36,2025-10-11,4.3
348,10,23,2025-12-31,5.4
349,19,3,2025-11-28,6.2
350,8,5,2026-02-18,7.5
351,10,7,2025-11-12,3.4
352,13,9,2025-10-17,6.9
353,19,11,2026-01-02,7.0
354,20,49,2025-11-27,6.0
355,15,3,2026-02-23,3.1
356,15,49,2026-01-23,7.1
357,5,2,2026-01-22,4.0
358,15,21,2025-09-29,9.2
359,20,18,2026-01-24,9.2
360,13,37,2026-03-19,6.4
361,3,21,2025-10-15,5.5
362,4,16,2025-12-24,9.9
363,16,13,2025-12-12,7.1
364,20,46,2026-01-13,7.5
365,8,37,2026-01-21,8.8
366,19,44,2025-11-16,10.0
367,16,31,2026-01-28,2.9
368,7,11,2026-01-02,6.6
369,16,47,2026-02-21,4.4
370,6,2,2026-03-25,4.4
371,18,18,2026-03-14,5.2
372,4,19,2025-09-29,6.5
373,1,45,2026-03-21,8.2
374,9,21,2025-10-09,9.3
375,10,13,2026-02-01,8.7
376,14,42,2025-12-09,8.2
377,15,23,2025-11-24,6.9
378,14,11,2025-12-26,3.8
379,15,35,2025-11-14,7.0
380,19,50,2026-03-19,8.0
381,10,27,2026-03-14,7.4
382,12,9,2025-11-01,7.0
383,4,12,2026-03-06,7.2
384,18,26,2025-12-15,8.3
385,7,42,2025-10-05,6.6
386,12,39,2025-10-30,2.7
387,7,40,2025-12-11,4.6
388,10,44,2026-01-11,3.4
389,9,21,2025-10-30,8.3
390,6,25,2025-12-29,6.2
391,19,44,2025-12-05,8.6
392,19,43,2025-12-01,9.3
393,16,49,2026-01-28,9.7
394,18,43,2025-12-11,8.0
395,5,29,2025-12-22,8.4
396,1,45,2026-01-24,9.7
397,7,40,2025-11-02,8.0
398,2,20,2025-11-23,8.9
399,12,29,2026-03-18,9.8
400,3,41,2026-02-16,4.9
401,9,21,2026-01-06,2.1
402,8,17,2026-02-11,3.0
403,12,35,2025-12-30,7.4
404,18,6,2026-03-18,4.1
405,6,44,2026-01-02,8.6
406,10,20,2025-12-31,2.9
407,15,17,2025-11-25,5.8
408,15,1,2026-03-04,9.1
409,14,17,2026-02-17,4.6
410,7,30,2026-03-02,3.8
411,19,33,2025-10-13,7.1
412,11,2,2026-01-23,9.3
413,19,50,2025-12-13,7.2
414,7,26,2025-10-26,3.1
415,17,35,2025-10-06,4.4
416,8,16,2026-01-31,2.9
417,18,36,2025-11-26,9.1
418,6,5,2025-10-31,5.1
419,5,43,2025-12-30,7.4
420,14,24,2026-03-24,9.6
421,2,49,2026-01-12,6.7
422,8,16,2025-11-05,9.1
423,9,29,2026-03-13,2.8
424,19,46,2026-01-30,6.9
425,4,28,2025-12-07,2.3
426,1,40,2025-12-30,3.7
427,18,7,2026-01-18,9.6
428,14,23,2025-12-28,2.8
429,15,33,2026-03-21,4.9
430,12,16,2026-03-11,4.9
431,11,7,2026-01-06,4.2
432,17,6,2025-10-28,9.6
433,7,50,2026-01-21,2.7
434,4,38,2025-11-20,7.1
435,12,32,2026-02-26,9.8
436,4,11,2025-10-09,8.3
437,6,20,2025-11-28,9.9
438,9,8,2026-02-18,3.6
439,1,48,2026-02-15,3.7
440,2,25,2025-11-21,8.5
441,2,19,2025-11-25,4.6
442,15,39,2025-11-03,8.3
443,6,27,2026-02-26,2.0
444,16,49,2025-11-03,9.9
445,4,31,2026-02-12,4.0
446,4,31,2025-11-10,2.9
447,15,8,2025-10-03,3.1
448,8,38,2025-12-27,8.3
449,1,31,2025-11-26,6.7
450,16,20,2025-10-01,3.4
451,15,44,2025-10-10,3.0
452,20,17,2026-01-12,6.2
453,13,44,2025-10-13,5.8
454,19,34,2025-12-28,6.1
455,2,40,2025-10-24,5.6
456,8,8,2025-11-22,9.6
457,4,30,2025-10-08,7.8
458,14,2,2026-03-14,6.2
459,11,44,2026-01-22,7.1
460,14,11,2025-10-04,2.5
461,2,44,2026-01-27,8.8
462,5,18,2026-01-14,7.5
463,17,34,2026-01-30,7.7
464,11,33,2026-01-18,2.6
465,7,2,2025-10-17,4.6
466,11,6,2025-11-03,2.5
467,18,37,2025-12-06,7.0
468,13,16,2026-02-23,6.4
469,15,4,2025-12-19,5.0
470,14,5,2026-02-26,6.2
471,17,45,2026-01-21,6.0
472,17,49,2026-01-15,2.8
473,8,49,2026-03-25,2.9
474,18,44,2026-03-13,7.2
475,8,47,2026-02-15,7.8
476,19,45,2025-11-21,5.4
477,15,1,2025-11-24,5.3
478,5,34,2026-01-21,5.2
479,18,14,2025-10-21,4.5
480,15,27,2025-12-16,7.3
481,15,29,2025-12-31,9.6
482,3,36,2026-03-21,9.4
483,14,33,2025-10-14,2.7
484,4,32,2025-10-18,2.7
485,7,40,2025-10-21,8.0
486,17,30,2025-12-31,8.5
487,15,20,2026-02-16,2.5
488,9,37,2026-02-17,6.5
489,7,14,2026-03-17,3.0
490,17,15,2025-12-26,9.0
491,9,6,2026-01-13,8.9
492,7,39,2025-10-10,9.7
493,3,8,2026-02-27,4.5
494,11,11,2025-10-23,6.6
495,11,8,2025-11-20,3.2
496,10,34,2026-01-28,3.8
497,6,18,2025-10-24,4.8
498,12,41,2026-02-16,4.9
499,11,20,2025-12-07,6.6
500,2,26,2026-01-14,8.8
501,4,47,2026-03-05,6.9
502,3,24,2026-03-10,6.5
503,9,45,2026-03-01,9.4
504,14,18,2026-03-23,4.1
505,17,35,2025-11-12,4.2
506,1,7,2025-12-15,9.4
507,5,38,2025-12-25,2.0
508,11,43,2025-11-02,6.5
509,12,8,2026-01-07,2.6
510,8,7,2026-03-08,9.8
511,4,49,2025-10-20,8.0
512,5,9,2025-11-21,5.0
513,8,3,2026-01-21,4.7
514,15,9,2025-12-30,4.5
515,19,1,2025-12-19,8.2
516,18,44,2026-02-19,6.8
517,11,27,2025-10-10,3.2
518,7,42,2026-03-04,2.4
519,19,42,2025-10-17,4.2
520,8,18,2026-03-15,5.4
521,15,17,2026-03-01,5.5
522,6,50,2025-12-05,3.7
523,13,2,2026-02-05,2.9
524,2,15,2026-01-15,2.9
525,1,1,2026-03-19,7.4
526,4,36,2026-01-29,6.2
527,19,20,2025-12-14,2.4
528,18,47,2026-01-06,9.9
529,3,48,2025-10-11,2.1
530,15,17,2025-12-13,9.6
531,2,19,2025-11-01,8.1
532,15,21,2025-12-10,4.6
533,12,43,2025-09-28,6.0
534,5,15,2026-01-15,3.4
535,13,30,2026-01-02,6.3
536,4,16,2025-11-24,6.0
537,2,17,2026-03-17,8.4
538,13,49,2025-10-15,5.2
539,16,23,2025-10-07,5.5
540,14,29,2026-01-22,9.4
541,14,30,2025-12-16,6.6
542,7,46,2026-02-20,5.2
543,17,8,2026-03-09,5.3
544,20,44,2025-10-26,5.2
545,12,34,2025-12-19,3.4
546,20,45,2026-03-04,5.7
547,6,46,2026-03-22,9.4
548,18,20,2025-10-19,5.5
549,20,28,2025-10-24,3.9
550,6,16,2026-02-24,5.2
551,11,2,2025-10-17,5.2
552,9,20,2025-12-15,8.0
553,11,36,2025-11-22,4.7
554,3,7,2025-11-09,2.6
555,14,39,2026-03-08,2.9
556,15,1,2026-02-04,3.6
557,18,2,2025-12-25,4.8
558,7,41,2026-03-11,8.5
559,13,38,2025-11-26,2.8
560,5,12,2025-12-01,3.6
561,10,31,2026-02-28,3.2
562,13,24,2026-03-13,2.6
563,9,42,2026-03-06,6.0
564,13,23,2026-02-18,8.1
565,12,48,2026-01-19,7.4
566,17,44,2026-02-18,7.1
567,17,33,2026-03-05,4.6
568,16,48,2026-03-06,4.5
569,12,18,2026-01-17,2.5
570,4,30,2026-01-18,7.1
571,13,31,2025-12-06,6.7
572,15,24,2025-12-26,6.1
573,3,21,2025-12-15,5.7
574,14,27,2025-10-06,2.5
575,7,39,2025-12-09,2.6
576,12,29,2025-10-20,6.9
577,3,48,2026-02-03,5.1
578,12,24,2026-02-22,6.4
579,20,37,2025-10-07,5.6
580,5,36,2026-02-20,7.2
581,19,11,2025-12-18,6.8
582,9,49,2026-02-02,3.2
583,1,9,2025-10-12,5.6
584,12,33,2025-12-23,9.9
585,10,1,2025-10-18,6.0
586,7,27,2025-11-10,2.3
587,8,10,2026-01-17,9.9
588,18,38,2026-02-08,6.2
589,19,28,2025-11-06,4.9
590,15,41,2025-12-08,5.1
591,10,47,2025-12-22,7.4
592,13,1,2025-10-10,8.3
593,13,19,2026-03-11,4.7
594,17,6,2025-12-20,2.8
595,15,21,2026-03-19,5.1
596,11,9,2025-11-30,7.8
597,7,39,2026-03-14,9.7
598,20,31,2026-02-28,9.0
599,1,50,2025-12-21,2.7
600,7,2,2026-03-15,3.1
601,10,46,2025-12-25,4.5
602,5,32,2026-03-13,7.6
603,16,14,2026-01-05,3.0
604,20,10,2025-10-18,4.5
605,1,22,2026-01-01,7.1
606,5,33,2025-12-20,8.5
607,2,22,2026-03-17,7.6
608,1,29,2026-03-21,9.3
609,9,28,2025-10-20,7.2
610,14,42,2026-01-13,6.1
611,8,5,2025-10-01,4.9
612,16,26,2025-11-12,9.6
613,17,30,2025-12-23,9.6
614,16,28,2026-01-29,3.5
615,3,50,2025-11-01,3.2
616,4,7,2025-12-11,8.8
617,9,19,2025-10-22,6.1
618,12,38,2026-02-12,8.7
619,6,22,2026-02-08,2.3
620,10,35,2025-12-22,9.0
621,9,15,2026-03-04,3.0
622,10,4,2026-01-01,3.2
623,11,44,2025-11-12,8.7
624,4,10,2026-03-05,8.5
625,16,41,2025-11-08,7.8
626,10,3,2025-10-08,5.3
627,1,44,2026-03-19,7.8
628,16,43,2026-01-18,6.9
629,10,12,2026-01-19,3.9
630,15,38,2025-11-27,4.5
631,14,23,2026-01-25,9.2
632,4,33,2025-11-15,4.9
633,12,12,2026-02-20,9.9
634,1,28,2026-01-23,8.2
635,10,34,2026-01-02,6.0
636,4,44,2026-01-12,9.7
637,15,16,2025-11-17,8.4
638,6,36,2025-11-01,9.0
639,15,26,2025-10-10,7.1
640,1,22,2025-12-31,6.4
641,7,19,2025-10-23,7.7
642,10,37,2026-02-06,8.8
643,13,36,2025-12-08,2.7
644,14,46,2025-11-07,4.2
645,10,24,2026-02-05,3.2
646,6,39,2026-01-16,2.7
647,11,11,2025-11-22,8.5
648,8,16,2025-12-25,9.4
649,9,37,2026-01-11,2.4
650,19,23,2026-02-02,5.0
651,9,19,2026-01-03,10.0
652,20,11,2025-12-31,3.8
653,7,25,2025-12-17,9.4
654,14,21,2026-03-12,4.7
655,20,32,2025-11-03,3.1
656,1,24,2025-12-09,9.3
657,19,34,2026-01-25,7.6
658,13,38,2025-11-01,8.1
659,15,41,2026-01-25,5.6
660,14,16,2025-09-28,9.2
661,2,25,2025-10-01,4.0
662,8,49,2025-11-04,6.4
663,18,35,2026-03-01,6.2
664,19,1,2025-10-25,8.2
665,16,16,2025-11-26,4.4
666,19,34,2025-10-09,3.9
667,17,36,2026-03-09,8.4
668,11,11,2026-01-22,2.5
669,13,9,2026-02-01,6.8
670,10,25,2025-10-01,7.1
671,13,1,2026-02-21,3.9
672,20,44,2025-11-02,4.3
673,5,29,2025-09-27,6.9
674,9,10,2025-11-27,6.6
675,19,28,2025-11-13,7.3
676,3,15,2025-10-18,6.2
677,15,46,2025-12-28,2.5
678,13,39,2026-02-08,6.4
679,12,9,2026-02-03,6.4
680,17,45,2026-01-04,9.0
681,17,16,2025-10-08,7.1
682,12,29,2025-12-31,4.0
683,10,24,2025-10-01,4.9
684,14,35,2025-10-14,4.8
685,19,21,2026-03-14,7.0
686,7,28,2026-02-22,7.9
687,2,44,2025-12-21,3.1
688,7,21,2025-12-26,6.4
689,13,17,2026-03-10,3.4
690,18,47,2026-03-21,5.7
691,7,14,2026-03-24,5.8
692,18,39,2025-11-12,8.5
693,2,6,2025-10-13,7.7
694,20,40,2026-01-22,2.3
695,20,33,2025-11-17,2.4
696,7,35,2025-11-17,9.1
697,1,7,2025-12-16,9.5
698,10,24,2026-02-05,5.2
699,16,29,2026-02-13,5.8
700,18,44,2025-10-06,8.0
701,15,35,2025-11-14,4.3
702,20,19,2025-10-09,8.9
703,12,46,2025-12-20,4.2
704,13,16,2025-12-30,5.5
705,6,31,2026-01-07,7.9
706,5,47,2026-01-03,4.7
707,2,33,2025-11-13,6.0
708,6,25,2026-02-01,4.9
709,7,24,2026-02-06,4.1
710,5,39,2025-10-18,7.8
711,3,15,2025-10-17,5.4
712,11,13,2025-11-12,6.4
713,15,48,2025-12-18,2.8
714,12,44,2025-12-19,7.3
715,9,7,2025-12-14,5.6
716,6,42,2026-01-14,3.3
717,8,33,2026-01-18,4.8
718,19,20,2025-10-07,7.8
719,7,34,2025-12-26,6.9
720,13,33,2026-01-16,4.2
721,14,24,2025-10-11,2.6
722,5,1,2026-03-09,5.2
723,6,49,2026-02-05,8.4
724,11,46,2026-03-19,3.3
725,2,37,2025-10-04,3.1
726,15,22,2026-03-01,7.4
727,4,8,2026-01-17,2.3
728,13,49,2025-10-14,3.9
729,1,21,2026-03-11,4.9
730,9,18,2026-01-03,9.6
731,3,4,2025-10-05,6.8
732,14,36,2026-03-19,5.6
733,5,1,2025-12-30,5.0
734,5,33,2025-10-16,6.6
735,7,28,2026-02-09,4.9
736,18,12,2025-12-16,7.2
737,4,13,2025-11-29,9.7
738,16,14,2025-10-03,7.9
739,19,30,2026-02-01,6.1
740,20,6,2026-02-17,2.9
741,3,37,2025-12-02,7.6
742,9,9,2025-11-20,10.0
743,11,36,2025-12-09,7.6
744,7,50,2026-01-30,3.6
745,8,19,2025-10-31,8.8
746,2,31,2026-01-20,3.4
747,13,10,2026-01-18,10.0
748,18,6,2026-03-20,9.7
749,18,4,2025-12-17,7.3
750,10,49,2025-10-13,6.4
751,18,39,2025-12-10,9.1
752,8,27,2025-11-06,7.7
753,18,43,2026-03-25,7.1
754,18,44,2025-12-28,6.1
755,19,21,2025-10-28,9.9
756,10,1,2025-11-01,3.9
757,14,43,2026-01-31,2.2
758,13,33,2026-02-15,6.6
759,5,19,2026-01-24,8.4
760,9,37,2026-02-15,3.0
761,8,34,2025-10-19,2.5
762,3,19,2026-01-06,10.0
763,15,43,2026-01-27,6.2
764,8,6,2026-01-09,8.6
765,20,14,2025-10-15,3.0
766,14,2,2025-12-17,7.1
767,14,33,2026-01-20,5.7
768,10,17,2026-02-06,4.8
769,3,44,2026-02-15,7.1
770,10,42,2025-11-12,8.1
771,16,20,2025-10-30,5.5
772,11,3,2025-10-11,8.7
773,10,40,2026-02-06,3.2
774,13,24,2025-11-08,3.3
775,2,3,2025-11-23,4.8
776,3,36,2026-02-06,9.2
777,14,48,2025-10-17,4.0
778,4,50,2026-03-08,9.7
779,4,6,2025-12-06,3.0
780,15,28,2025-12-13,6.9
781,19,12,2025-10-20,6.0
782,10,31,2025-11-09,6.7
783,1,29,2026-02-22,3.2
784,12,4,2026-03-14,7.0
785,6,42,2026-02-28,4.7
786,18,44,2026-02-18,2.3
787,16,1,2025-10-04,2.6
788,16,16,2026-03-10,8.2
789,17,13,2025-12-03,7.2
790,16,46,2026-02-20,5.3
791,1,19,2026-03-09,2.2
792,14,3,2026-03-06,6.4
793,15,28,2026-03-10,9.7
794,18,43,2026-01-28,4.0
795,10,36,2026-03-21,5.2
796,10,33,2026-01-21,2.6
797,4,30,2025-10-12,3.3
798,17,47,2026-01-11,5.9
799,16,26,2025-11-18,4.7
800,13,18,2025-11-02,4.5
801,13,11,2025-12-17,7.9
802,14,31,2025-12-24,9.8
803,17,42,2025-10-30,8.1
804,14,4,2026-02-05,6.5
805,18,6,2025-12-17,3.9
806,7,50,2025-10-28,4.1
807,15,27,2025-11-29,3.1
808,14,24,2025-10-09,4.3
809,10,20,2026-01-03,8.9
810,16,13,2026-01-12,4.0
811,3,46,2025-11-06,8.5
812,16,2,2026-02-21,7.8
813,13,44,2025-11-14,8.1
814,19,8,2026-02-01,10.0
815,2,50,2026-01-24,6.0
816,5,16,2025-12-14,6.0
817,3,41,2025-10-20,9.6
818,4,39,2026-02-03,5.7
819,19,33,2025-11-27,3.7
